ID,Address,BuildingName,Street_Nbr,Street,VHR,Designation,Zoning,LocalArea,Land_Coord,HRA_HCC,Latitude,Longitude
1795,618 SALSBURY DRIVE,,618,SALSBURY DRIVE,B,,RM-4                ,GRANDVIEW-WOODLAND  ,25159418,,49.2790170720949,-123.068001265253
1796,341 WATER ST,,341,WATER ST,A,M,HA-2                ,CENTRL BUSNES/DWNTWN,58013861,,49.2847297198002,-123.109610350921
1797,1888 W 3RD AV,,1888,W 3RD AV,C,,RM-4                ,KITSILANO           ,63809708,,49.2686607832531,-123.147650996885
1798,2058 WILLIAM ST,,2058,WILLIAM ST,C,,RT-4                ,GRANDVIEW-WOODLAND  ,60625758,,49.2735694479642,-123.062482600217
1799,4447 QUEBEC ST,,4447,QUEBEC ST,C,,RS-1                ,RILEY PARK          ,18871647,,49.2453160015043,-123.102961639693
1800,3167 W 5TH AV,,3167,W 5TH AV,C,,RT-7                ,KITSILANO           ,64205351,,49.2678433365297,-123.174903516037
1801,2466 W 6TH AV,,2466,W 6TH AV,B,,RT-8                ,KITSILANO           ,64307734,,49.2662879202739,-123.161457230064
1802,3269 AUSTREY AV,,3269,AUSTREY AV,B,,RS-1                ,RENFREW-COLLINGWOOD ,72130157,,49.2387032472915,-123.036300185848
1803,5610 ANGUS DRIVE,,5610,ANGUS DRIVE,B,,RS-3A               ,SHAUGHNESSY         ,12074704,,49.2355021887305,-123.147090950909
1804,375 W 18TH AV,,375,W 18TH AV,C,,RS-7                ,RILEY PARK          ,69317215,,49.255075993835,-123.112094783756
1805,2526 W 37TH AV,,2526,W 37TH AV,B,,RS-5                ,ARBUTUS RIDGE       ,73907470,,49.2381452715299,-123.163130105158
1806,262 E 20TH AV,,262,E 20TH AV,B,,RS-7                ,RILEY PARK          ,69619062,,49.2526980672912,-123.099412065465
1807,819 JACKSON AV,,819,JACKSON AV,B,,RT-3                ,STRATHCONA          ,59819498,,49.2772970846467,-123.0938177367
1808,4430 ONTARIO ST,,4430,ONTARIO ST,C,,RS-1                ,RILEY PARK          ,18471630,,49.245527568331,-123.104773783612
1809,2011 GRAVELEY ST,,2011,GRAVELEY ST,C,,RT-4                ,GRANDVIEW-WOODLAND  ,61625511,,49.2706665454475,-123.063475368652
1810,4658 WINDSOR ST,,4658,WINDSOR ST,C,,RS-1                ,KENSINGTON-CEDAR COT,21772494,,49.2426421881284,-123.08367010048
1811,4290 HUDSON ST,,4290,HUDSON ST,B,,RS-5                ,SHAUGHNESSY         ,71414405,,49.247586555583,-123.134200444633
1812,53 W HASTINGS ST,,53,W HASTINGS ST,B,M,DD                  ,CENTRL BUSNES/DWNTWN,59017229,H,49.2821163348912,-123.106306581068
1813,237 E HASTINGS ST,,237,E HASTINGS ST,C,,DEOD                ,STRATHCONA          ,59019037,,49.2816102049561,-123.098709966894
1814,4949 HEATHER ST,,4949,HEATHER ST,A,,CD-1                ,SOUTH CAMBIE        ,73015994,,49.2396256437539,-123.121990782063
1815,440 CAMBIE ST,EDGETT BUILDING   ,440,CAMBIE ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59215707,H,49.281719894324,-123.109500502526
1816,523 E 12TH AV,,523,E 12TH AV,B,,RT-5                ,MOUNT PLEASANT      ,67020123,,49.2599929204246,-123.092432122811
1817,1550 MARPOLE AV,,1550,MARPOLE AV,B,,FSD                 ,SHAUGHNESSY         ,69512424,,49.2555169006692,-123.140065600442
1818,522 VICTORIA DRIVE,,522,VICTORIA DRIVE,C,,RM-4                ,GRANDVIEW-WOODLAND  ,25359202,,49.2799403687721,-123.065359231532
1819,630 PRINCESS AV,,630,PRINCESS AV,B,,RT-3                ,STRATHCONA          ,19859430,,49.2787574478507,-123.091370220863
1820,207 W HASTINGS ST,DOMINION BUILDING ,207,W HASTINGS ST,A,M,HA-2                ,CENTRL BUSNES/DWNTWN,59015697,,49.2831356847985,-123.109636561032
1821,810 W 27TH AV,,810,W 27TH AV,B,,CD-1                ,SOUTH CAMBIE        ,71415394,,49.2468952061254,-123.122856961885
1822,1816 W 14TH AV,,1816,W 14TH AV,B,,RT-8                ,KITSILANO           ,68609784,,49.2587611931641,-123.146402942633
1823,243 MAIN ST,,243,MAIN ST,C,,DEOD                ,CENTRL BUSNES/DWNTWN,19058097,,49.2824928055692,-123.100066200696
1824,2876 W 3RD AV,,2876,W 3RD AV,B,,RT-8                ,KITSILANO           ,63806240,,49.2690154710623,-123.170079331384
1825,1114 E 13TH AV,,1114,E 13TH AV,B,,RT-5                ,MOUNT PLEASANT      ,68322212,,49.2584788235035,-123.08104373033
1826,1443 W 8TH AV,,1443,W 8TH AV,C,,C-3A                ,FAIRVIEW            ,64813075,,49.2647362480143,-123.136943566806
1827,238 E PENDER ST,,238,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219038,,49.280100558528,-123.098564093542
1828,279 E 18TH AV,,279,E 18TH AV,B,,RS-7                ,RILEY PARK          ,69219079,,49.2550219706179,-123.099164356143
1829,1170 COMOX ST,LUMSDEN HOUSE     ,1170,COMOX ST,A,,RM-5B               ,WEST END            ,60711818,,49.2827310800068,-123.131146792637
1830,1996 W 13TH AV,,1996,W 13TH AV,C,,RT-8                ,KITSILANO           ,68309504,,49.2597487934884,-123.150410446857
1831,4479 JAMES ST,,4479,JAMES ST,B,,RS-1                ,RILEY PARK          ,18571679,,49.2449019775079,-123.10426585975
1832,626 W PENDER ST,LONDON BUILDING   ,626,W PENDER ST,B,MI,DD                  ,CENTRL BUSNES/DWNTWN,59213050,H,49.2841533315501,-123.11460319393
1833,2628 W 5TH AV,MCKINNON HOUSE    ,2628,W 5TH AV,C,M,RT-8                ,KITSILANO           ,64207264,H,49.2671761787231,-123.165280681738
1834,4392 MAIN ST,,4392,MAIN ST,B,,C-2                 ,RILEY PARK          ,19071392,,49.2458229252085,-123.100864108034
1835,3590 CYPRESS ST,,3590,CYPRESS ST,B,,FSD                 ,SHAUGHNESSY         ,09769542,,49.253742063539,-123.147980604528
1836,341 W 18TH AV,,341,W 18TH AV,C,,RS-7                ,RILEY PARK          ,69317229,,49.2550683088192,-123.111670694224
1837,1758 VENABLES ST,,1758,VENABLES ST,B,,RT-5                ,GRANDVIEW-WOODLAND  ,60025058,,49.2763658890091,-123.068057177536
1838,309 W CORDOVA ST,,309,W CORDOVA ST,A,M,HA-2                ,CENTRL BUSNES/DWNTWN,58914895,,49.2839992964401,-123.109212229073
1839,303 E 8TH AV,,303,E 8TH AV,B,,CD-1                ,MOUNT PLEASANT      ,64819403,,49.2639077125209,-123.098689880417
1840,1028 HAMILTON ST,,1028,HAMILTON ST,C,,HA-3                ,CENTRL BUSNES/DWNTWN,15260614,,49.2765023112469,-123.119729522446
1841,2543 BALACLAVA ST,,2543,BALACLAVA ST,C,,RS-5                ,KITSILANO           ,05865095,,49.2634399581572,-123.174332011769
1842,3106 W 5TH AV,,3106,W 5TH AV,C,,RT-7                ,KITSILANO           ,64205394,,49.2672706492367,-123.174104532924
1843,1896 W 12TH AV,,1896,W 12TH AV,C,,RT-8                ,KITSILANO           ,67009704,,49.2606292295755,-123.148005387772
1844,1260 E 12TH AV,,1260,E 12TH AV,C,,RT-5                ,MOUNT PLEASANT      ,67022284,,49.2593701097447,-123.078257785722
1845,2638 W 10TH AV,,2638,W 10TH AV,C,,RS-7                ,KITSILANO           ,65407244,,49.2628791889089,-123.16557416408
1846,3036 ONTARIO ST,,3036,ONTARIO ST,C,,RM-4                ,MOUNT PLEASANT      ,18468456,,49.2578592597296,-123.104780259408
1847,138 E PENDER ST,,138,E PENDER ST,,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218638,,49.280158720177,-123.101405959461
1848,251 E PENDER ST,,251,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219051,,49.2806102453793,-123.098437672702
1849,343 PRIOR ST,,343,PRIOR ST,B,,RT-3                ,STRATHCONA          ,60019295,,49.2769571439208,-123.095778679466
1850,546 BEATTY ST,,546,BEATTY ST,C,M,DD                  ,CENTRL BUSNES/DWNTWN,16059232,H,49.2805012831595,-123.109080265212
1851,2316 BALACLAVA ST,,2316,BALACLAVA ST,C,,RT-7                ,KITSILANO           ,05864632,,49.2655672166791,-123.173621334546
1852,1975 FERNDALE ST,,1975,FERNDALE ST,A,,RS-7                ,GRANDVIEW-WOODLAND  ,25559293,,49.2799331018605,-123.063923063827
1853,5300 MAPLE ST,QUILCHENA ELEM    ,5300,MAPLE ST,B,,RS-5                ,SHAUGHNESSY         ,73909294,,49.2373124196536,-123.151216611046
1854,801 W GEORGIA ST,HOTEL GEORGIA     ,801,W GEORGIA ST,B,MI,CD-1                ,CENTRL BUSNES/DWNTWN,12659599,H,49.2836166519755,-123.118886177257
1855,1407 W 53RD AV,,1407,W 53RD AV,B,,RS-1                ,OAKRIDGE            ,79813097,,49.2228425883049,-123.137896795085
1856,4435 SLOCAN ST,,4435,SLOCAN ST,B,,RS-1                ,RENFREW-COLLINGWOOD ,27570843,,49.2448386604757,-123.050097593297
1857,1722 VICTORIA DRIVE,,1722,VICTORIA DRIVE,B,,RT-5                ,GRANDVIEW-WOODLAND  ,25363022,,49.2691748864871,-123.06548101381
1858,602 KEEFER ST,,602,KEEFER ST,B,,RT-3                ,STRATHCONA          ,59419802,,49.2791411015495,-123.091358569313
1859,15 W 11TH AV,,15,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66418287,,49.2614356009434,-123.105425429671
1860,1948 W 2ND AV,,1948,W 2ND AV,C,,RM-4                ,KITSILANO           ,63609556,,49.2695672812022,-123.149060922606
1861,2308 DUNBAR ST,,2308,DUNBAR ST,B,,RT-7                ,KITSILANO           ,04164622,,49.2658081031855,-123.1834227692
1862,2609 E 6TH AV,,2609,E 6TH AV,B,,RS-1                ,HASTINGS-SUNRISE    ,64127407,,49.2650341621089,-123.051840409574
1863,1944 W 13TH AV,,1944,W 13TH AV,C,,RT-8                ,KITSILANO           ,68309554,,49.2597336060406,-123.149366165807
1864,347 E CORDOVA ST,LAMBERT HOUSE     ,347,E CORDOVA ST,B,,DEOD                ,STRATHCONA          ,58919247,H,49.2824791662514,-123.096591499546
1865,1975 W 15TH AV,MACKEN HOUSE      ,1975,W 15TH AV,B,M,RT-8                ,KITSILANO           ,68809527,H,49.2584219026172,-123.150062766265
1866,1526 ANGUS DRIVE,,1526,ANGUS DRIVE,B,,FSD                 ,SHAUGHNESSY         ,69812674,,49.2539327124428,-123.139801354261
1867,1306 BIDWELL ST,,1306,BIDWELL ST,B,,RM-5A               ,WEST END            ,11361354,,49.2849881254802,-123.141740851889
1868,856 KEEFER ST,,856,KEEFER ST,B,,RT-3                ,STRATHCONA          ,59421256,,49.2789606560372,-123.085932595251
1869,310 WATER ST,TAYLOR BUILDING   ,310,WATER ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58013876,H,49.2841735808465,-123.1092339265
1870,2845 HEMLOCK ST,,2845,HEMLOCK ST,B,,RM-3                ,FAIRVIEW            ,13467095,,49.2599629387885,-123.136579924413
1871,2555 W 3RD AV,,2555,W 3RD AV,C,,RT-8                ,KITSILANO           ,63807345,,49.269424893084,-123.163514103501
1872,1846 W 13TH AV,,1846,W 13TH AV,C,,RT-8                ,KITSILANO           ,68309758,,49.2597062674767,-123.1469830631
1873,1833 COLLINGWOOD ST,,1833,COLLINGWOOD ST,C,,RT-8                ,KITSILANO           ,04263667,,49.2697854108323,-123.18195670256
1874,2128 ALBERTA ST,,2128,ALBERTA ST,B,,I-1                 ,MOUNT PLEASANT      ,17364458,,49.2660560436176,-123.110553817753
1875,75 E 43RD AV,,75,E 43RD AV,C,,RS-1                ,SUNSET              ,75518495,,49.231132024684,-123.104349276208
1876,124 POWELL ST,,124,POWELL ST,C,,HA-2                ,CENTRL BUSNES/DWNTWN,58018636,,49.2829688415575,-123.101187756439
1877,2238 W 7TH AV,,2238,W 7TH AV,C,,RM-4                ,KITSILANO           ,64608470,,49.2653665706991,-123.156121119286
1878,101 E HASTINGS ST,IRVING HOTEL      ,101,E HASTINGS ST,B,,DEOD                ,CENTRL BUSNES/DWNTWN,59018605,,49.2816808099321,-123.102001470056
1879,1436 HARO ST,,1436,HARO ST,B,M,RM-5                ,WEST END            ,60311552,,49.2874065910112,-123.131469634934
1880,3689 SELKIRK ST,,3689,SELKIRK ST,A,ML,FSD                 ,SHAUGHNESSY         ,14670255,H,49.2527237185798,-123.133036316039
1881,2580 CAMBRIDGE ST,,2580,CAMBRIDGE ST,B,,RS-1                ,HASTINGS-SUNRISE    ,57627174,,49.2863906713395,-123.052662771834
1882,104 W 11TH AV,,104,W 11TH AV,A,,RT-6                ,MOUNT PLEASANT      ,66417994,,49.2609378814839,-123.107171752673
1883,2030 FERNDALE ST,,2030,FERNDALE ST,C,,RS-7                ,GRANDVIEW-WOODLAND  ,59325530,,49.2794645670851,-123.062931679722
1884,2222 ALMA ST,,2222,ALMA ST,B,,RM-4                ,KITSILANO           ,64304004,,49.2666536790632,-123.185384468887
1885,1009 W 10TH AV,,1009,W 10TH AV,B,,RM-3                ,FAIRVIEW            ,65414995,,49.2627012490138,-123.126895925534
1886,46 E 12TH AV,HARTMAN HOUSE     ,46,E 12TH AV,C,,RM-4N               ,MOUNT PLEASANT      ,67018462,,49.259980591109,-123.103994574932
1887,1489 MCRAE AV,,1489,MCRAE AV,A,ML,FSD                 ,SHAUGHNESSY         ,69013306,,49.2574592921729,-123.136442375769
1888,281 W 17TH AV,,281,W 17TH AV,C,M,RS-7                ,RILEY PARK          ,69117249,,49.2560378626429,-123.110881848269
1889,1670 E 29TH AV,,1670,E 29TH AV,B,,RS-1                ,KENSINGTON-CEDAR COT,72123750,,49.2437474061008,-123.070822027958
1890,1601 COMOX ST,GRACE COURT       ,1601,COMOX ST,B,M,RM-5A               ,WEST END            ,60711395,,49.2869247505578,-123.136472634553
1891,388 W 1ST AV,BEST BUILDING     ,388,W 1ST AV,B,M,CD-1                ,MOUNT PLEASANT      ,63817108,,49.2682367605854,-123.113337576737
1892,2205 W 45TH AV,,2205,W 45TH AV,A,,RS-5                ,KERRISDALE          ,75807993,,49.2311550158117,-123.158880244932
1893,921 PRINCESS AV,,921,PRINCESS AV,B,,RT-3                ,STRATHCONA          ,19860021,,49.2762465670363,-123.091907598011
1894,12 WATER ST,,12,WATER ST,BC,M,HA-2                ,CENTRL BUSNES/DWNTWN,58017280,H,49.283381966678,-123.104956671551
1895,2243 W 5TH AV,,2243,W 5TH AV,B,,RM-4                ,KITSILANO           ,64208477,,49.267580633502,-123.156213369817
1896,2855 W 6TH AV,,2855,W 6TH AV,B,M,RT-7                ,KITSILANO           ,64306243,,49.2668855291683,-123.169665884461
1897,720 ROBSON ST,,720,ROBSON ST,B,M,DD                  ,CENTRL BUSNES/DWNTWN,60212604,,49.2813912161956,-123.120391120907
1898,450 W 2ND AV,NYE BUILDING      ,450,W 2ND AV,B,M,C-3A                ,MOUNT PLEASANT      ,64017004,,49.2668284279206,-123.113794303399
1899,1803 E PENDER ST,,1803,E PENDER ST,B,,RM-4                ,GRANDVIEW-WOODLAND  ,25159094,,49.2803789354501,-123.068012844703
1900,2910 W 3RD AV,,2910,W 3RD AV,B,,RT-8                ,KITSILANO           ,63806228,,49.2690169471522,-123.170298587232
1901,139 E PENDER ST,,139,E PENDER ST,C,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218661,,49.2806632849535,-123.100966340736
1902,2443 W 45TH AV,,2443,W 45TH AV,C,,RS-5                ,KERRISDALE          ,75807757,,49.2312131149217,-123.161990619371
1903,427 GLEN DRIVE,,427,GLEN DRIVE,B,,RT-3                ,STRATHCONA          ,59221895,,49.2803166052219,-123.081516116594
1904,1031 PACIFIC ST,,1031,PACIFIC ST,B,,RM-5A               ,WEST END            ,61611947,,49.2780290777695,-123.132675351879
1905,6161 MACDONALD ST,,6161,MACDONALD ST,,L,RS-5                ,KERRISDALE          ,7075811,H,,
1906,238 W 15TH AV,,238,W 15TH AV,A,,RT-6                ,MOUNT PLEASANT      ,17368704,,49.257532839476,-123.110873749325
1907,412 COLUMBIA ST,,412,COLUMBIA ST,A,,DEOD                ,CENTRL BUSNES/DWNTWN,59018604,,49.2811354367318,-123.102098296628
1908,2707 CAROLINA ST,,2707,CAROLINA ST,C,,RT-5                ,MOUNT PLEASANT      ,20666507,,49.2604777099594,-123.091378373911
1909,3092 W 36TH AV,,3092,W 36TH AV,B,,RS-5                ,DUNBAR-SOUTHLANDS   ,73705452,,49.2391942769783,-123.174328548817
1910,3050 ONTARIO ST,,3050,ONTARIO ST,C,,RM-4                ,MOUNT PLEASANT      ,18468494,,49.257689112314,-123.104773563713
1911,33 E PENDER ST,,33,E PENDER ST,B,M,HA-1                ,CENTRL BUSNES/DWNTWN,59217839,,49.2807085510905,-123.103327929603
1912,123 ROGERS ST,,123,ROGERS ST,A,,M-2                 ,STRATHCONA          ,56121792,,49.2853387255046,-123.080167208099
1913,1285 W 8TH AV,,1285,W 8TH AV,C,,FM-1                ,FAIRVIEW            ,64813815,,49.2646551621467,-123.133080493042
1914,3677 ASH ST,,3677,ASH ST,,,RS-5                ,SOUTH CAMBIE        ,16569753,H,49.2527241890586,-123.118577582832
1915,1807 SE MARINE DRIVE,,1807,SE MARINE DRIVE,B,,RS-1                ,VICTORIA-FRASERVIEW ,83024147,,49.2111987762284,-123.069811642329
1916,1180 HOMER ST,MCMASTER BUILDING ,1180,HOMER ST,B,M,HA-3                ,CENTRL BUSNES/DWNTWN,14860872,H,49.2753267642819,-123.122596505606
1917,4452 JAMES ST,,4452,JAMES ST,B,,RS-1                ,RILEY PARK          ,18571652,,49.2452341273252,-123.10349470028
1918,4605 W 12TH AV,,4605,W 12TH AV,C,,RS-1                ,WEST POINT GREY     ,67802095,,49.2623009657117,-123.212450940622
1919,3008 W 36TH AV,,3008,W 36TH AV,C,,RS-5                ,DUNBAR-SOUTHLANDS   ,73705492,,49.2391868510547,-123.173291452406
1920,960 E 39TH AV,MACKENZIE ELEM    ,960,E 39TH AV,A,,RS-1                ,KENSINGTON-CEDAR COT,74421294,,49.2341053911465,-123.086724798649
1921,2635 W 7TH AV,,2635,W 7TH AV,C,,RT-8                ,KITSILANO           ,64607263,,49.2659998259945,-123.165428637961
1922,1830 STEPHENS ST,,1830,STEPHENS ST,C,,RT-8                ,KITSILANO           ,07263664,,49.2695252159702,-123.165987471635
1923,81 E 27TH AV,,81,E 27TH AV,C,M,RS-7                ,RILEY PARK          ,71418491,H,49.2474431795166,-123.103631950973
1924,252 E PENDER ST,,252,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219050,,49.2800962415598,-123.098460284545
1925,1067 SALSBURY DRIVE,ROBERTSON MEMORIAL,1067,SALSBURY DRIVE,C,M,RT-5                ,GRANDVIEW-WOODLAND  ,60425091,H,49.2750815529154,-123.067956110102
1926,2538 BALACLAVA ST,,2538,BALACLAVA ST,C,,RS-5                ,KITSILANO           ,05865062,,49.2635960976025,-123.173686564456
1927,2215 STEPHENS ST,,2215,STEPHENS ST,C,,RT-8                ,KITSILANO           ,07264327,,49.2663073239088,-123.166763668555
1928,2680 ETON ST,,2680,ETON ST,B,,RS-1                ,HASTINGS-SUNRISE    ,57527474,,49.2873993556143,-123.049984611173
1929,3756 W 12TH AV,,3756,W 12TH AV,C,,RS-1                ,WEST POINT GREY     ,67803738,,49.261402306996,-123.187139287322
1930,2134 FRANKLIN ST,,2134,FRANKLIN ST,B,,RM-3A               ,GRANDVIEW-WOODLAND  ,58825934,,49.2818341022995,-123.060937401978
1931,91 E 27TH AV,,91,E 27TH AV,C,M,RS-7                ,RILEY PARK          ,71418491,H,49.2474431795166,-123.103631950973
1932,121 E PENDER ST,,121,E PENDER ST,A,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218641,,49.2807136342144,-123.101378232926
1933,518 VICTORIA DRIVE,,518,VICTORIA DRIVE,C,,RM-4                ,GRANDVIEW-WOODLAND  ,25359202,,49.2799403687721,-123.065359231532
1934,14 W 13TH AV,,14,W 13TH AV,C,,RT-6                ,MOUNT PLEASANT      ,68318286,,49.2591102358944,-123.105548056232
1935,1290 HOMER ST,,1290,HOMER ST,C,,HA-3                ,CENTRL BUSNES/DWNTWN,14861296,,49.274120779031,-123.124447881794
1936,912 W 22ND AV,,912,W 22ND AV,C,,RS-5                ,SOUTH CAMBIE        ,70315078,,49.2514195931615,-123.125310674657
1937,1829 STEPHENS ST,,1829,STEPHENS ST,C,,RT-8                ,KITSILANO           ,07263659,,49.2696367174854,-123.166633234581
1938,1967 W 12TH AV,,1967,W 12TH AV,C,,RT-8                ,KITSILANO           ,67009535,,49.2612193975005,-123.14974286391
1939,1710 COMMERCIAL DRIVE,,1710,COMMERCIAL DRIVE,B,,C-2C                ,GRANDVIEW-WOODLAND  ,25063012,,49.2693585654588,-123.069250552202
1940,879 BROUGHTON ST,,879,BROUGHTON ST,B,M,RM-5                ,WEST END            ,60311552,,49.2874065910112,-123.131381095395
1941,635 E 49TH AV,,635,E 49TH AV,B,,RS-1                ,SUNSET              ,79020169,,49.2257923547611,-123.092090168173
1942,3736 PRINCE EDWARD ST,,3736,PRINCE EDWARD ST,C,,RS-1                ,RILEY PARK          ,19769836,,49.251393471769,-123.096343791114
1943,430 PRINCESS AV,KEMP HOUSE (1902) ,430,PRINCESS AV,B,M,RT-3                ,STRATHCONA          ,19859002,H,49.2805956200237,-123.09127019421
1944,140 W 11TH AV,,140,W 11TH AV,C,,RT-6                ,MOUNT PLEASANT      ,66417950,,49.2609553457032,-123.108209192712
1945,83 W PENDER ST,,83,W PENDER ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59217225,,49.2812340123857,-123.106905139782
1946,230 JACKSON AV,MCD'LD-MCRAE HOUSE,230,JACKSON AV,B,,DEOD                ,STRATHCONA          ,58919601,,49.2824149408693,-123.093107874494
1947,73 E 27TH AV,,73,E 27TH AV,C,M,RS-7                ,RILEY PARK          ,71418491,H,49.2474431795166,-123.103631950973
1948,146 W HASTINGS ST,,146,W HASTINGS ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,59015742,,49.2819891628633,-123.108807589838
1949,1163 PENDRELL ST,,1163,PENDRELL ST,B,,RM-5B               ,WEST END            ,60911823,,49.2822434643017,-123.131388843541
1950,507 PRIOR ST,,507,PRIOR ST,C,,RT-3                ,STRATHCONA          ,60019613,,49.2768945666943,-123.093346784193
1951,350 WATER ST,,350,WATER ST,AB,M,HA-2                ,CENTRL BUSNES/DWNTWN,58013804,,49.2844371824089,-123.110137737846
1952,336 W 11TH AV,,336,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66417142,,49.2610167966374,-123.112119453649
1953,2975 OAK ST,VAN ARSDEL/SANTA F,2975,OAK ST,B,M,RM-3                ,FAIRVIEW            ,15068397,H,49.2589750441602,-123.127133189196
1954,2737 W 3RD AV,,2737,W 3RD AV,B,,RT-8                ,KITSILANO           ,63807063,,49.2695027232418,-123.16722593462
1955,303 E CORDOVA ST,ST JAMES' CHURCH  ,303,E CORDOVA ST,A,M,DEOD                ,STRATHCONA          ,58919203,,49.2825039093966,-123.097184621122
1956,403 POWELL ST,IMPERIAL HOTEL    ,403,POWELL ST,B,,DEOD                ,STRATHCONA          ,58019403,,49.2833560531805,-123.095060570101
1957,3789 SELKIRK ST,,3789,SELKIRK ST,B,,FSD                 ,SHAUGHNESSY         ,70314495,,49.2520947217031,-123.132524777605
1958,5590 BALACLAVA ST,KNOX UNITED CHURCH,5590,BALACLAVA ST,B,,RS-5                ,DUNBAR-SOUTHLANDS   ,05374470,,49.2357225137785,-123.176244206749
1959,127 E PENDER ST,,127,E PENDER ST,B,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218649,,49.2806688550573,-123.101173963076
1960,975 LAGOON DRIVE,,975,LAGOON DRIVE,B,,RS-1                ,WEST END            ,10760257,,49.2935850881338,-123.13930542584
1961,165 WATER ST,,165,WATER ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,58015725,,49.2844880656966,-123.108225284992
1962,1893 W 3RD AV,,1893,W 3RD AV,B,,RM-4                ,KITSILANO           ,63809707,,49.2691564790675,-123.147681233124
1963,1924 PARKER ST,,1924,PARKER ST,B,,RT-4                ,GRANDVIEW-WOODLAND  ,60125324,,49.2754493522508,-123.064881716606
1964,4250 MARGUERITE ST,SHAUGHNESSY ELEM  ,4250,MARGUERITE ST,B,,RS-5                ,SHAUGHNESSY         ,71012206,,49.2484465044025,-123.143796470801
1965,1911 WATERLOO ST,,1911,WATERLOO ST,C,,RT-8                ,KITSILANO           ,04563805,,49.269246420161,-123.180043408172
1966,1460 NELSON ST,,1460,NELSON ST,B,,RM-5                ,WEST END            ,60611504,,49.2862322912665,-123.134394445688
1967,865 W 18TH AV,,865,W 18TH AV,B,,RS-7                ,SOUTH CAMBIE        ,69315343,,49.2555149638768,-123.123414877863
1968,665 E PENDER ST,,665,E PENDER ST,C,,RT-3                ,STRATHCONA          ,59219865,,49.2804515402823,-123.089990762057
1969,263 E PENDER ST,,263,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219065,,49.2806046645584,-123.098124877756
1970,56 W CORDOVA ST,,56,W CORDOVA ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,58917236,,49.2825106397863,-123.10602121127
1971,995 BUTE ST,RAND HOUSE        ,995,BUTE ST,B,M,RM-5B               ,WEST END            ,11860597,H,49.2841268327186,-123.130193829018
1972,326 W PENDER ST,,326,W PENDER ST,C,M,DD                  ,CENTRL BUSNES/DWNTWN,59214860,,49.2821750365303,-123.111564898802
1973,1820 W 10TH AV,,1820,W 10TH AV,B,,RT-8                ,KITSILANO           ,65409774,,49.2624887130817,-123.146471764262
1974,3242 W 2ND AV,,3242,W 2ND AV,C,,RT-8                ,KITSILANO           ,63605036,,49.2699998835754,-123.176746875594
1975,1789 MATTHEWS AV,,1789,MATTHEWS AV,C,,FSD                 ,SHAUGHNESSY         ,12169992,,49.2520003998691,-123.144612836145
1976,31 W 11TH AV,,31,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66418267,,49.2614393632378,-123.105728081001
1977,947 E 17TH AV,,947,E 17TH AV,C,,RS-1                ,KENSINGTON-CEDAR COT,69121447,,49.2556937322169,-123.084302020209
1978,1426 ANGUS DRIVE,,1426,ANGUS DRIVE,C,,FSD                 ,SHAUGHNESSY         ,69813074,,49.2546197240922,-123.137021915081
1979,125 BOUNDARY ROAD,BECKETT HOUSE     ,125,BOUNDARY ROAD,C,M,RS-1                ,HASTINGS-SUNRISE    ,58631292,H,49.2836625442117,-123.023869301632
1980,1098 SALSBURY DRIVE,,1098,SALSBURY DRIVE,A,M,RT-5                ,GRANDVIEW-WOODLAND  ,60425203,H,49.2750796995562,-123.067094738695
1981,116 W HASTINGS ST,,116,W HASTINGS ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59015776,,49.2818414955092,-123.107914084406
1982,5824 ONTARIO ST,,5824,ONTARIO ST,C,,RS-1                ,SUNSET              ,18475184,,49.2321921180549,-123.105317967248
1983,1516 POWELL ST,,1516,POWELL ST,B,,M-2                 ,GRANDVIEW-WOODLAND  ,58023356,,49.282983964202,-123.073353024098
1984,399 W HASTINGS ST,,399,W HASTINGS ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,59014807,,49.2835027478657,-123.110457415108
1985,3522 POINT GREY ROAD,,3522,POINT GREY ROAD,C,,RT-8                ,KITSILANO           ,63004170,,49.271822880551,-123.182205866813
1986,166 E HASTINGS ST,MOLSON'S BANK     ,166,E HASTINGS ST,B,,DEOD                ,CENTRL BUSNES/DWNTWN,59018678,,49.2810459646557,-123.1005355537
